,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
0,filter0$\longleftrightarrow$filter4,3,M4604_1.02,0.0371602,M4459_1.02,7.23927e-09,204.0,132.0,377.0,171.0,0.0072453277115493,0.0379788015817725,ZNF263,EGR1,ZNF263$\longleftrightarrow$EGR1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1,filter0$\longleftrightarrow$filter9,8,M4604_1.02,0.0371602,M0408_1.02,0.0225088,144.0,474.0,389.0,242.0,0.005060999470118,0.0296187551342377,ZNF263,ZKSCAN1,ZNF263$\longleftrightarrow$ZKSCAN1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
2,filter0$\longleftrightarrow$filter10,9,M4604_1.02,0.0371602,M0632_1.02,0.00153344,66.0,414.0,186.0,222.0,2.7215363174463795e-05,0.0007778391249664,ZNF263,DMRTA2,ZNF263$\longleftrightarrow$DMRTA2,C2H2 ZF,DM,C2H2 ZF$\longleftrightarrow$DM
4,filter0$\longleftrightarrow$filter17,16,M4604_1.02,0.0371602,M1605_1.02,0.0410179,348.0,402.0,95.0,148.0,0.0090378723742861,0.0444148146464672,ZNF263,SOX1,ZNF263$\longleftrightarrow$SOX1,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
5,filter0$\longleftrightarrow$filter22,21,M4604_1.02,0.0371602,M6446_1.02,0.0178944,306.0,48.0,273.0,200.0,0.0088200393576554,0.0435811132700837,ZNF263,RARG,ZNF263$\longleftrightarrow$RARG,C2H2 ZF,Nuclear receptor,C2H2 ZF$\longleftrightarrow$Nuclear receptor
6,filter0$\longleftrightarrow$filter26,25,M4604_1.02,0.0371602,M0891_1.02,0.00425164,258.0,252.0,150.0,170.0,0.0030770764081762,0.0209827506408127,ZNF263,TLX2,ZNF263$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
9,filter0$\longleftrightarrow$filter40,39,M4604_1.02,0.0371602,M0609_1.02,0.0396582,6.0,162.0,215.0,178.0,0.001615353221426,0.0134994953380661,ZNF263,DNMT1,ZNF263$\longleftrightarrow$DNMT1,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
10,filter0$\longleftrightarrow$filter43,42,M4604_1.02,0.0371602,M6482_1.02,0.00300843,462.0,420.0,365.0,224.0,0.0074798662818306,0.0388075433399683,ZNF263,SP7,ZNF263$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
11,filter0$\longleftrightarrow$filter44,43,M4604_1.02,0.0371602,M0607_1.02,0.00640584,342.0,72.0,174.0,112.0,0.0017117912698785,0.0140285101680574,ZNF263,KDM2B,ZNF263$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
14,filter0$\longleftrightarrow$filter80,79,M4604_1.02,0.0371602,M1668_1.02,0.0030752,246.0,474.0,323.0,195.0,0.0011969301502998,0.0109702976189158,ZNF263,PRKRIR,ZNF263$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
17,filter0$\longleftrightarrow$filter111,110,M4604_1.02,0.0371602,M1963_1.02,0.0136401,186.0,264.0,358.0,144.0,0.0013256748812441,0.0118129327304059,ZNF263,ZFY,ZNF263$\longleftrightarrow$ZFY,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
20,filter0$\longleftrightarrow$filter129,128,M4604_1.02,0.0371602,M2314_1.02,0.0105216,42.0,498.0,396.0,202.0,4.072441954026279e-05,0.0010129795285973,ZNF263,SP2,ZNF263$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
24,filter0$\longleftrightarrow$filter148,147,M4604_1.02,0.0371602,M0608_1.02,0.00321805,204.0,378.0,365.0,239.0,0.0003936594345738,0.0052289956135856,ZNF263,MLL,ZNF263$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
26,filter0$\longleftrightarrow$filter165,164,M4604_1.02,0.0371602,M0404_1.02,0.0444817,306.0,150.0,300.0,181.0,0.0011895604892775,0.0109303049927169,ZNF263,ZNF202,ZNF263$\longleftrightarrow$ZNF202,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
30,filter0$\longleftrightarrow$filter180,179,M4604_1.02,0.0371602,M1589_1.02,0.00640278,132.0,450.0,206.0,184.0,0.001152644646782,0.0107324862806126,ZNF263,SOX30,ZNF263$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
33,filter1$\longleftrightarrow$filter10,207,M2314_1.02,0.000651982,M0632_1.02,0.00153344,378.0,30.0,202.0,243.0,0.0001825170287639,0.0030764692571939,SP2,DMRTA2,SP2$\longleftrightarrow$DMRTA2,C2H2 ZF,DM,C2H2 ZF$\longleftrightarrow$DM
35,filter1$\longleftrightarrow$filter17,214,M2314_1.02,0.000651982,M1605_1.02,0.0410179,348.0,24.0,98.0,172.0,0.0006192603516648,0.0070762197169124,SP2,SOX1,SP2$\longleftrightarrow$SOX1,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
36,filter1$\longleftrightarrow$filter19,216,M2314_1.02,0.000651982,M0756_1.02,0.0167464,384.0,480.0,220.0,209.0,0.0067819204984883,0.0363052607153408,SP2,FOXN3,SP2$\longleftrightarrow$FOXN3,C2H2 ZF,Forkhead,C2H2 ZF$\longleftrightarrow$Forkhead
38,filter1$\longleftrightarrow$filter26,223,M2314_1.02,0.000651982,M0891_1.02,0.00425164,216.0,222.0,167.0,188.0,0.006156991633982,0.0339744369198488,SP2,TLX2,SP2$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
39,filter1$\longleftrightarrow$filter32,229,M2314_1.02,0.000651982,M1007_1.02,0.00307474,36.0,192.0,259.0,222.0,0.0022249382382671,0.0166972650329899,SP2,HOXA11,SP2$\longleftrightarrow$HOXA11,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
40,filter1$\longleftrightarrow$filter35,232,M2314_1.02,0.000651982,M0607_1.02,0.0298275,342.0,480.0,262.0,204.0,0.0005844852746165,0.0067916542251156,SP2,KDM2B,SP2$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
42,filter1$\longleftrightarrow$filter38,235,M2314_1.02,0.000651982,M4459_1.02,0.0184776,96.0,162.0,364.0,179.0,0.0104093653527102,0.0492452572011954,SP2,EGR1,SP2$\longleftrightarrow$EGR1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
43,filter1$\longleftrightarrow$filter40,237,M2314_1.02,0.000651982,M0609_1.02,0.0396582,264.0,162.0,237.0,194.0,0.002988441459445,0.0205331519889635,SP2,DNMT1,SP2$\longleftrightarrow$DNMT1,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
44,filter1$\longleftrightarrow$filter41,238,M2314_1.02,0.000651982,M0942_1.02,0.000949705,156.0,138.0,261.0,228.0,0.0074510538471,0.0387306868990588,SP2,IRX4,SP2$\longleftrightarrow$IRX4,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
45,filter1$\longleftrightarrow$filter43,240,M2314_1.02,0.000651982,M6482_1.02,0.00300843,6.0,162.0,407.0,255.0,0.0082741246432228,0.0416069072910913,SP2,SP7,SP2$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
47,filter1$\longleftrightarrow$filter45,242,M2314_1.02,0.000651982,M1049_1.02,0.00639964,366.0,348.0,177.0,165.0,0.0051886748461296,0.0301443071790622,SP2,SIX4,SP2$\longleftrightarrow$SIX4,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
49,filter1$\longleftrightarrow$filter64,261,M2314_1.02,0.000651982,M4427_1.02,0.0113245,396.0,168.0,258.0,145.0,0.0006716143004613,0.0074951101237123,SP2,CTCF,SP2$\longleftrightarrow$CTCF,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
51,filter1$\longleftrightarrow$filter80,277,M2314_1.02,0.000651982,M1668_1.02,0.0030752,42.0,30.0,364.0,218.0,0.0006086923464444,0.0069888980435955,SP2,PRKRIR,SP2$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
54,filter1$\longleftrightarrow$filter94,291,M2314_1.02,0.000651982,M0408_1.02,0.0188115,174.0,72.0,120.0,216.0,0.0068054096040537,0.0363918409839995,SP2,ZKSCAN1,SP2$\longleftrightarrow$ZKSCAN1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
65,filter1$\longleftrightarrow$filter148,345,M2314_1.02,0.000651982,M0608_1.02,0.00321805,108.0,378.0,406.0,268.0,0.0004098878992838,0.0053866776191531,SP2,MLL,SP2$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
66,filter1$\longleftrightarrow$filter149,346,M2314_1.02,0.000651982,M0931_1.02,0.0294458,90.0,396.0,178.0,191.0,0.0006782408212167,0.0075478947766051,SP2,LHX5,SP2$\longleftrightarrow$LHX5,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
67,filter1$\longleftrightarrow$filter163,360,M2314_1.02,0.000651982,M0436_1.02,1.4859e-05,342.0,24.0,179.0,216.0,0.0045025220376086,0.0273477361124348,SP2,ZNF35,SP2$\longleftrightarrow$ZNF35,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
69,filter1$\longleftrightarrow$filter167,364,M2314_1.02,0.000651982,M6547_1.02,0.00310707,132.0,102.0,315.0,229.0,0.0074207111633824,0.0386133134751526,SP2,ZFX,SP2$\longleftrightarrow$ZFX,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
72,filter1$\longleftrightarrow$filter180,377,M2314_1.02,0.000651982,M1589_1.02,0.00640278,186.0,450.0,231.0,203.0,4.339285172569814e-06,0.0002158577409094,SP2,SOX30,SP2$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
79,filter2$\longleftrightarrow$filter11,405,M4459_1.02,7.28933e-06,M6482_1.02,0.0131685,270.0,192.0,396.0,208.0,0.0024102875901139,0.0176778114515615,EGR1,SP7,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
80,filter2$\longleftrightarrow$filter16,410,M4459_1.02,7.28933e-06,M0632_1.02,0.00396582,96.0,282.0,108.0,252.0,0.0078348136261331,0.0400570582187372,EGR1,DMRTA2,EGR1$\longleftrightarrow$DMRTA2,C2H2 ZF,DM,C2H2 ZF$\longleftrightarrow$DM
81,filter2$\longleftrightarrow$filter19,413,M4459_1.02,7.28933e-06,M0756_1.02,0.0167464,114.0,198.0,210.0,223.0,0.0022529830492912,0.0168406674360618,EGR1,FOXN3,EGR1$\longleftrightarrow$FOXN3,C2H2 ZF,Forkhead,C2H2 ZF$\longleftrightarrow$Forkhead
82,filter2$\longleftrightarrow$filter32,426,M4459_1.02,7.28933e-06,M1007_1.02,0.00307474,216.0,114.0,252.0,244.0,0.0018209503548766,0.0146160831631044,EGR1,HOXA11,EGR1$\longleftrightarrow$HOXA11,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
84,filter2$\longleftrightarrow$filter44,438,M4459_1.02,7.28933e-06,M0607_1.02,0.00640584,24.0,186.0,175.0,139.0,0.0008428549133026,0.0087486317500763,EGR1,KDM2B,EGR1$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
85,filter2$\longleftrightarrow$filter80,474,M4459_1.02,7.28933e-06,M1668_1.02,0.0030752,186.0,312.0,345.0,250.0,0.001193244555718,0.0109466021990217,EGR1,PRKRIR,EGR1$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
87,filter2$\longleftrightarrow$filter103,497,M4459_1.02,7.28933e-06,M0609_1.02,0.00127235,126.0,492.0,387.0,214.0,0.0005569141226195,0.006576544339397,EGR1,DNMT1,EGR1$\longleftrightarrow$DNMT1,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
89,filter2$\longleftrightarrow$filter118,512,M4459_1.02,7.28933e-06,M0891_1.02,0.0151094,108.0,342.0,170.0,261.0,0.0009704313183946,0.0096335297227392,EGR1,TLX2,EGR1$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
92,filter2$\longleftrightarrow$filter148,542,M4459_1.02,7.28933e-06,M0608_1.02,0.00321805,258.0,24.0,392.0,307.0,0.0003185313970253,0.0045337179814094,EGR1,MLL,EGR1$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
93,filter2$\longleftrightarrow$filter149,543,M4459_1.02,7.28933e-06,M0931_1.02,0.0294458,204.0,186.0,176.0,220.0,0.0105267386843341,0.049623559900706,EGR1,LHX5,EGR1$\longleftrightarrow$LHX5,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
95,filter2$\longleftrightarrow$filter167,561,M4459_1.02,7.28933e-06,M6547_1.02,0.00310707,354.0,498.0,311.0,252.0,0.0008222288380431,0.0086286367881481,EGR1,ZFX,EGR1$\longleftrightarrow$ZFX,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
98,filter2$\longleftrightarrow$filter180,574,M4459_1.02,7.28933e-06,M1589_1.02,0.00640278,114.0,282.0,231.0,233.0,0.0079831700378373,0.0405537700824321,EGR1,SOX30,EGR1$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
99,filter2$\longleftrightarrow$filter182,576,M4459_1.02,7.28933e-06,M1605_1.02,0.0248924,18.0,168.0,319.0,276.0,0.0104705643439545,0.0494407425999068,EGR1,SOX1,EGR1$\longleftrightarrow$SOX1,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
108,filter4$\longleftrightarrow$filter54,839,M4459_1.02,7.23927e-09,M6336_1.02,0.00340884,60.0,48.0,371.0,94.0,0.004932314411834,0.0291293360196095,EGR1,MAZ,EGR1$\longleftrightarrow$MAZ,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
116,filter4$\longleftrightarrow$filter133,918,M4459_1.02,7.23927e-09,M0408_1.02,0.000397444,156.0,426.0,211.0,206.0,0.0075239586592611,0.0389671341493955,EGR1,ZKSCAN1,EGR1$\longleftrightarrow$ZKSCAN1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
123,filter8$\longleftrightarrow$filter9,1564,M6482_1.02,0.000133478,M0408_1.02,0.0225088,120.0,474.0,329.0,193.0,0.0019415351635174,0.0152637956079301,SP7,ZKSCAN1,SP7$\longleftrightarrow$ZKSCAN1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
124,filter8$\longleftrightarrow$filter10,1565,M6482_1.02,0.000133478,M0632_1.02,0.00153344,162.0,234.0,149.0,172.0,2.197863893149213e-05,0.0006759365648513,SP7,DMRTA2,SP7$\longleftrightarrow$DMRTA2,C2H2 ZF,DM,C2H2 ZF$\longleftrightarrow$DM
127,filter8$\longleftrightarrow$filter17,1572,M6482_1.02,0.000133478,M1605_1.02,0.0410179,78.0,126.0,76.0,114.0,0.000601421368805,0.0069495252012095,SP7,SOX1,SP7$\longleftrightarrow$SOX1,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
129,filter8$\longleftrightarrow$filter26,1581,M6482_1.02,0.000133478,M0891_1.02,0.00425164,264.0,174.0,122.0,141.0,0.0004048565071655,0.0053349899202521,SP7,TLX2,SP7$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
130,filter8$\longleftrightarrow$filter32,1587,M6482_1.02,0.000133478,M1007_1.02,0.00307474,438.0,258.0,198.0,155.0,0.0074329735622645,0.0386580008529476,SP7,HOXA11,SP7$\longleftrightarrow$HOXA11,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
131,filter8$\longleftrightarrow$filter35,1590,M6482_1.02,0.000133478,M0607_1.02,0.0298275,66.0,330.0,202.0,147.0,0.0089479916168703,0.0440383718012579,SP7,KDM2B,SP7$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
134,filter8$\longleftrightarrow$filter40,1595,M6482_1.02,0.000133478,M0609_1.02,0.0396582,96.0,414.0,170.0,136.0,0.0004486961984132,0.0056903486016744,SP7,DNMT1,SP7$\longleftrightarrow$DNMT1,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
